名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
メドレックス,マザーズ,医薬品,医薬品 ,22.0,-1342.0,-1301.0,-1259.0,3079.0,2431.0,5101.0,394.0,6011.0,79.0,-48.75,-41.58,8514700.0
UMNファーマ,マザーズ,医薬品,医薬品 ,71.0,-3564.0,-3857.0,-14099.0,1510.0,-10926.0,10117.0,11210.0,3537.0,30.0,-282.08,-211.73,12196500.0
ヘリオス,マザーズ,医薬品,医薬品 ,77.0,-3507.0,-3426.0,-3433.0,9174.0,5964.0,5394.0,2500.0,64796.0,65.0,-44.78,-34.92,46315800.0
オンコリスバイオファーマ,マザーズ,医薬品,医薬品 ,178.0,-861.0,-864.0,-931.0,3140.0,2597.0,5090.0,363.0,7074.0,82.7,-30.57,-26.06,10916800.0
ウインテスト,東証2部,電気機器,電機・精密 ,213.0,-213.0,-222.0,-226.0,734.0,638.0,1310.0,49.0,2100.0,86.9,-32.78,-27.51,13040900.0
ナノキャリア,マザーズ,医薬品,医薬品 ,218.0,-2712.0,-2619.0,-2676.0,12939.0,9834.0,11085.0,2475.0,29030.0,76.0,-24.64,-18.89,43199384.0
RISE,東証JQS,不動産業,不動産 ,246.0,-162.0,-161.0,-162.0,3010.0,2535.0,2000.0,302.0,3552.0,84.2,-5.47,-4.65,96013277.0
カイオム・バイオサイエンス,マザーズ,医薬品,医薬品 ,252.0,-1042.0,-1047.0,-1491.0,4789.0,4528.0,5186.0,54.0,9856.0,94.6,-32.9,-30.72,26781500.0
燦キャピタルマネージメント,東証JQS,サービス業,情報通信・サービスその他 ,289.0,-249.0,-322.0,-1008.0,1508.0,663.0,1940.0,101.0,3736.0,44.0,-226.26,-76.28,42941244.0
石垣食品,東証JQS,食料品,食品 ,405.0,-51.0,-53.0,-54.0,191.0,40.0,300.0,98.0,746.0,20.9,-81.2,-25.12,3390000.0
北日本紡績,東証2部,繊維製品,素材・化学 ,413.0,2.0,4.0,5.0,1265.0,474.0,714.0,481.0,1717.0,37.5,1.05,0.4,12911000.0
JALCOホールディングス,東証JQS,電気機器,電機・精密 ,418.0,115.0,85.0,154.0,6753.0,3093.0,1884.0,3174.0,5678.0,45.8,5.24,2.46,51156132.0
ジェイ・エスコム ホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,460.0,-59.0,-59.0,-142.0,398.0,211.0,1060.0,3.0,1330.0,53.0,-57.37,-33.02,10472990.0
fonfun,東証JQS,情報・通信業,情報通信・サービスその他 ,592.0,-36.0,-26.0,-30.0,656.0,347.0,2287.0,209.0,1261.0,52.9,-8.28,-4.29,2866720.0
ジオネクスト,東証JQG,情報・通信業,情報通信・サービスその他 ,593.0,67.0,-34.0,-570.0,1810.0,1317.0,1572.0,331.0,5595.0,72.8,-64.52,-37.8,111890380.0
クレアホールディングス,東証2部,建設業,建設・資材 ,604.0,-398.0,-402.0,-405.0,2932.0,2487.0,9104.0,214.0,2560.0,84.8,-16.51,-14.73,91412356.0
アークン,マザーズ,情報・通信業,情報通信・サービスその他 ,609.0,-110.0,-112.0,-357.0,936.0,371.0,267.0,40.0,2397.0,39.6,-64.91,-32.06,4439200.0
スリー・ディー・マトリックス,東証JQG,精密機器,電機・精密 ,615.0,-1240.0,-1270.0,-1392.0,3423.0,2288.0,5955.0,450.0,15012.0,66.8,-47.14,-35.32,22207200.0
アイフリークモバイル,東証JQS,情報・通信業,情報通信・サービスその他 ,707.0,12.0,4.0,1.0,722.0,327.0,780.0,300.0,4051.0,45.3,0.5,0.16,13594300.0
ジェクシード,東証JQS,情報・通信業,情報通信・サービスその他 ,712.0,-57.0,-60.0,-68.0,383.0,213.0,1037.0,80.0,2257.0,55.6,-27.47,-15.76,18500732.0
免疫生物研究所,東証JQG,医薬品,医薬品 ,741.0,-1156.0,-1170.0,-2094.0,3425.0,1337.0,2271.0,1994.0,5973.0,39.0,-101.7,-61.76,7419590.0
GFA,東証JQS,その他金融業,金融（除く銀行） ,765.0,-23.0,-27.0,-49.0,869.0,694.0,452.0,149.0,7076.0,79.9,-6.82,-5.54,8334800.0
イメージ情報開発,東証JQG,情報・通信業,情報通信・サービスその他 ,804.0,-49.0,-42.0,-255.0,662.0,386.0,467.0,40.0,1424.0,58.3,-49.66,-31.0,1780000.0
カルナバイオサイエンス,東証JQG,医薬品,医薬品 ,811.0,-423.0,-440.0,-289.0,2566.0,1735.0,3042.0,697.0,11541.0,67.6,-16.06,-11.79,9367300.0
ALBERT,マザーズ,情報・通信業,情報通信・サービスその他 ,812.0,-107.0,-121.0,-279.0,3152.0,821.0,787.0,2168.0,3010.0,26.0,-33.25,-13.53,2377900.0
原弘産,東証2部,不動産業,不動産 ,827.0,-80.0,-104.0,-105.0,2959.0,1107.0,1550.0,1546.0,1990.0,37.4,-9.08,-3.46,73692398.0
夢みつけ隊,東証JQS,小売業,小売 ,862.0,76.0,134.0,120.0,3120.0,1709.0,534.0,1285.0,1558.0,54.8,7.35,3.8,10458000.0
